,Target,Scenario,xvar_subset_code,Regression Model,Fold,Train Score,Test Score,Scenario / Variables
107,GSupply,2C_SSP2,all,RandomForestRegressor,2,0.9937893911396429,0.9600620344318515,2C_SSP2 / all
108,GSupply,2C_SSP2,all,RandomForestRegressor,3,0.9945306914021245,0.9551225889103325,2C_SSP2 / all
109,GSupply,2C_SSP2,all,RandomForestRegressor,4,0.9938878982292944,0.9602133012660653,2C_SSP2 / all
110,GSupply,2C_SSP2,all,PySRRegressor,0,0.9172434783203666,0.9021567973203068,2C_SSP2 / all
111,GSupply,2C_SSP2,all,PySRRegressor,1,0.940239572536629,0.9175821873022704,2C_SSP2 / all
112,GSupply,2C_SSP2,all,PySRRegressor,2,0.9362832328642423,0.9530467725075271,2C_SSP2 / all
113,GSupply,2C_SSP2,all,PySRRegressor,3,0.9231403159978904,0.9185628866173415,2C_SSP2 / all
114,GSupply,2C_SSP2,all,PySRRegressor,4,0.922706868721994,0.9244575169362771,2C_SSP2 / all
115,GSupply,2C_SSP2,all,GPAFSRegressor,0,-5.931651115926153,-5.999604011605868,2C_SSP2 / all
116,GSupply,2C_SSP2,all,GPAFSRegressor,1,0.8736454801725099,0.8592615843942224,2C_SSP2 / all
117,GSupply,2C_SSP2,all,GPAFSRegressor,2,0.9496788613113194,0.9626959241771168,2C_SSP2 / all
118,GSupply,2C_SSP2,all,GPAFSRegressor,3,0.20331611737326927,0.08880158516871128,2C_SSP2 / all
119,GSupply,2C_SSP2,all,GPAFSRegressor,4,0.6784958572397313,0.6755098263421876,2C_SSP2 / all
120,GSupply,2C_SSP2_DA30,small,ElasticNet,0,0.777913145490999,0.7719179927584493,2C_SSP2_DA30 / small
121,GSupply,2C_SSP2_DA30,small,ElasticNet,1,0.7792616690448438,0.7739504754730353,2C_SSP2_DA30 / small
122,GSupply,2C_SSP2_DA30,small,ElasticNet,2,0.7857209998202558,0.7895420761515674,2C_SSP2_DA30 / small
123,GSupply,2C_SSP2_DA30,small,ElasticNet,3,0.7816623055929539,0.7934446344130401,2C_SSP2_DA30 / small
124,GSupply,2C_SSP2_DA30,small,ElasticNet,4,0.7775241208923298,0.7669476164594569,2C_SSP2_DA30 / small
125,GSupply,2C_SSP2_DA30,small,RandomForestRegressor,0,0.9896110379167171,0.9497434524769035,2C_SSP2_DA30 / small
126,GSupply,2C_SSP2_DA30,small,RandomForestRegressor,1,0.9902165564071373,0.927996710329398,2C_SSP2_DA30 / small
127,GSupply,2C_SSP2_DA30,small,RandomForestRegressor,2,0.991246542768182,0.9058015850971965,2C_SSP2_DA30 / small
128,GSupply,2C_SSP2_DA30,small,RandomForestRegressor,3,0.9906580765973284,0.9228956373401561,2C_SSP2_DA30 / small
129,GSupply,2C_SSP2_DA30,small,RandomForestRegressor,4,0.9903829620010577,0.9389056124035691,2C_SSP2_DA30 / small
130,GSupply,2C_SSP2_DA30,small,PySRRegressor,0,0.8065830296556016,0.8086133512652274,2C_SSP2_DA30 / small
131,GSupply,2C_SSP2_DA30,small,PySRRegressor,1,0.8010605288726574,0.7957161059943955,2C_SSP2_DA30 / small
132,GSupply,2C_SSP2_DA30,small,PySRRegressor,2,0.8174315194968544,0.8093262534766474,2C_SSP2_DA30 / small
133,GSupply,2C_SSP2_DA30,small,PySRRegressor,3,0.8180427826459065,0.8075896084669526,2C_SSP2_DA30 / small
134,GSupply,2C_SSP2_DA30,small,PySRRegressor,4,0.8148308702951088,0.8214386562068527,2C_SSP2_DA30 / small
135,GSupply,2C_SSP2_DA30,small,GPAFSRegressor,0,0.7347065843897994,0.7692090999595,2C_SSP2_DA30 / small
136,GSupply,2C_SSP2_DA30,small,GPAFSRegressor,1,0.6455237203180013,0.6438848683567984,2C_SSP2_DA30 / small
137,GSupply,2C_SSP2_DA30,small,GPAFSRegressor,2,0.9141151984865779,0.8927537728463981,2C_SSP2_DA30 / small
138,GSupply,2C_SSP2_DA30,small,GPAFSRegressor,3,0.7636187389133262,0.7372705014084574,2C_SSP2_DA30 / small
139,GSupply,2C_SSP2_DA30,small,GPAFSRegressor,4,0.7669004905469388,0.8088992695362193,2C_SSP2_DA30 / small
140,GSupply,2C_SSP2_DA30,all,ElasticNet,0,0.777913145490999,0.7719179927584493,2C_SSP2_DA30 / all
141,GSupply,2C_SSP2_DA30,all,ElasticNet,1,0.7792616690448438,0.7739504754730353,2C_SSP2_DA30 / all
142,GSupply,2C_SSP2_DA30,all,ElasticNet,2,0.7857209998202558,0.7895420761515674,2C_SSP2_DA30 / all
143,GSupply,2C_SSP2_DA30,all,ElasticNet,3,0.7816623055929539,0.7934446344130401,2C_SSP2_DA30 / all
144,GSupply,2C_SSP2_DA30,all,ElasticNet,4,0.7775241208923298,0.7669476164594569,2C_SSP2_DA30 / all
145,GSupply,2C_SSP2_DA30,all,RandomForestRegressor,0,0.9952913577347716,0.9769708387871568,2C_SSP2_DA30 / all
146,GSupply,2C_SSP2_DA30,all,RandomForestRegressor,1,0.9953107893480972,0.9674913916612173,2C_SSP2_DA30 / all
147,GSupply,2C_SSP2_DA30,all,RandomForestRegressor,2,0.995391900185708,0.9566974967121645,2C_SSP2_DA30 / all
148,GSupply,2C_SSP2_DA30,all,RandomForestRegressor,3,0.995458597227412,0.9578574158587067,2C_SSP2_DA30 / all
149,GSupply,2C_SSP2_DA30,all,RandomForestRegressor,4,0.9952947068965313,0.9732862613775971,2C_SSP2_DA30 / all
150,GSupply,2C_SSP2_DA30,all,PySRRegressor,0,0.8610014767830249,0.8620966743762106,2C_SSP2_DA30 / all
151,GSupply,2C_SSP2_DA30,all,PySRRegressor,1,0.8595291221703526,0.8665367990039612,2C_SSP2_DA30 / all
152,GSupply,2C_SSP2_DA30,all,PySRRegressor,2,0.8594698024751553,0.8693190467473837,2C_SSP2_DA30 / all
153,GSupply,2C_SSP2_DA30,all,PySRRegressor,3,0.8645543319918202,0.8446850848555598,2C_SSP2_DA30 / all
154,GSupply,2C_SSP2_DA30,all,PySRRegressor,4,0.8622710710699458,0.8569852309953998,2C_SSP2_DA30 / all
155,GSupply,2C_SSP2_DA30,all,GPAFSRegressor,0,0.88974472587217,0.8938863790011764,2C_SSP2_DA30 / all
156,GSupply,2C_SSP2_DA30,all,GPAFSRegressor,1,0.8834395297807949,0.888223739175747,2C_SSP2_DA30 / all
157,GSupply,2C_SSP2_DA30,all,GPAFSRegressor,2,0.6867203099063377,0.6334364972294432,2C_SSP2_DA30 / all
158,GSupply,2C_SSP2_DA30,all,GPAFSRegressor,3,0.910153206909734,0.8703595827950719,2C_SSP2_DA30 / all
159,GSupply,2C_SSP2_DA30,all,GPAFSRegressor,4,0.8960977634211044,0.8777136235914366,2C_SSP2_DA30 / all
160,GSupply,ALL,small_inc_enc,ElasticNet,0,0.6917371321035903,-30.00029052497346,ALL / small_inc_enc
161,GSupply,ALL,small_inc_enc,ElasticNet,1,0.6114801211305421,0.5339550317721781,ALL / small_inc_enc
162,GSupply,ALL,small_inc_enc,ElasticNet,2,0.5925337928966319,0.6222688475002147,ALL / small_inc_enc
163,GSupply,ALL,small_inc_enc,ElasticNet,3,0.6104064471544441,0.5572941388382011,ALL / small_inc_enc
164,GSupply,ALL,small_inc_enc,ElasticNet,4,0.5727223794766908,0.5306483883516286,ALL / small_inc_enc
165,GSupply,ALL,small_inc_enc,RandomForestRegressor,0,0.9904395523326213,0.18898247702655713,ALL / small_inc_enc
166,GSupply,ALL,small_inc_enc,RandomForestRegressor,1,0.9916643977592191,0.9282890442594754,ALL / small_inc_enc
167,GSupply,ALL,small_inc_enc,RandomForestRegressor,2,0.9909671993848579,0.930006963591933,ALL / small_inc_enc
168,GSupply,ALL,small_inc_enc,RandomForestRegressor,3,0.9916595105246051,0.9373302894459434,ALL / small_inc_enc
169,GSupply,ALL,small_inc_enc,RandomForestRegressor,4,0.9904679372241049,0.9229757944072681,ALL / small_inc_enc
170,GSupply,ALL,small_inc_enc,PySRRegressor,0,0.8026093487811318,-1.304187096219048,ALL / small_inc_enc
171,GSupply,ALL,small_inc_enc,PySRRegressor,1,0.8329976495468775,0.7794479596266188,ALL / small_inc_enc
172,GSupply,ALL,small_inc_enc,PySRRegressor,2,0.8316872654896765,0.7719677530451204,ALL / small_inc_enc
173,GSupply,ALL,small_inc_enc,PySRRegressor,3,0.8296584163054241,0.7985547123363275,ALL / small_inc_enc
174,GSupply,ALL,small_inc_enc,PySRRegressor,4,0.8156848960375396,0.6889720898357464,ALL / small_inc_enc
175,GSupply,ALL,small_inc_enc,GPAFSRegressor,0,-1.7202122639007844,-146.66353534457974,ALL / small_inc_enc
176,GSupply,ALL,small_inc_enc,GPAFSRegressor,1,-0.3611725304694198,-0.6948070690270789,ALL / small_inc_enc
177,GSupply,ALL,small_inc_enc,GPAFSRegressor,2,-2.1099465708299068,-2.5630860905190187,ALL / small_inc_enc
178,GSupply,ALL,small_inc_enc,GPAFSRegressor,3,-0.2102042287603787,-0.07240775447413483,ALL / small_inc_enc
179,GSupply,ALL,small_inc_enc,GPAFSRegressor,4,-0.5472721615903466,0.05769220780551676,ALL / small_inc_enc
180,GSupply,ALL,all_inc_enc,ElasticNet,0,0.6917371321035903,-30.00029052497346,ALL / all_inc_enc
181,GSupply,ALL,all_inc_enc,ElasticNet,1,0.6114801211305421,0.5339550317721784,ALL / all_inc_enc
182,GSupply,ALL,all_inc_enc,ElasticNet,2,0.5925337928966319,0.6222688475002147,ALL / all_inc_enc
183,GSupply,ALL,all_inc_enc,ElasticNet,3,0.6104064471544441,0.5572941388382011,ALL / all_inc_enc
184,GSupply,ALL,all_inc_enc,ElasticNet,4,0.5727223794766908,0.5306483883516285,ALL / all_inc_enc
185,GSupply,ALL,all_inc_enc,RandomForestRegressor,0,0.9959251367352709,0.8435254962781763,ALL / all_inc_enc
