,Target,Scenario,xvar_subset_code,Regression Model,Fold,Train Score,Test Score,Scenario / Variables
110,GSupply,2C_SSP2_DA30,all,RandomForestRegressor,0,0.9930483431291997,0.93587983412094,2C_SSP2_DA30 / all
111,GSupply,2C_SSP2_DA30,all,RandomForestRegressor,1,0.993733042157743,0.943493946043007,2C_SSP2_DA30 / all
112,GSupply,2C_SSP2_DA30,all,RandomForestRegressor,2,0.9917951585935018,0.9488843016152521,2C_SSP2_DA30 / all
113,GSupply,2C_SSP2_DA30,all,RandomForestRegressor,3,0.9927702667753883,0.9372033880216403,2C_SSP2_DA30 / all
114,GSupply,2C_SSP2_DA30,all,RandomForestRegressor,4,0.9910774477522355,0.9564604411758858,2C_SSP2_DA30 / all
115,GSupply,2C_SSP2_DA30,all,PySRRegressor,0,0.9112821716209947,0.8873004085780083,2C_SSP2_DA30 / all
116,GSupply,2C_SSP2_DA30,all,PySRRegressor,1,0.9030191552430962,0.923374247194294,2C_SSP2_DA30 / all
117,GSupply,2C_SSP2_DA30,all,PySRRegressor,2,0.9069868826238254,0.9041237331353992,2C_SSP2_DA30 / all
118,GSupply,2C_SSP2_DA30,all,PySRRegressor,3,0.9191851332530738,0.9018460829779912,2C_SSP2_DA30 / all
119,GSupply,2C_SSP2_DA30,all,PySRRegressor,4,0.9037820275894596,0.9141317620003769,2C_SSP2_DA30 / all
120,GSupply,ALL,small_inc_enc,ElasticNet,0,0.45881691995877405,-3.984826426373978,ALL / small_inc_enc
121,GSupply,ALL,small_inc_enc,ElasticNet,1,0.4815902609741134,0.296995007502169,ALL / small_inc_enc
122,GSupply,ALL,small_inc_enc,ElasticNet,2,0.48719999674233017,0.33516164430020534,ALL / small_inc_enc
123,GSupply,ALL,small_inc_enc,ElasticNet,3,0.5105384235719338,0.173379352234468,ALL / small_inc_enc
124,GSupply,ALL,small_inc_enc,ElasticNet,4,0.44007909657424515,0.2838453918973757,ALL / small_inc_enc
125,GSupply,ALL,small_inc_enc,RandomForestRegressor,0,0.9824514488718656,0.13344180290513263,ALL / small_inc_enc
126,GSupply,ALL,small_inc_enc,RandomForestRegressor,1,0.9841743226479269,0.8646680005121106,ALL / small_inc_enc
127,GSupply,ALL,small_inc_enc,RandomForestRegressor,2,0.9842256660760925,0.8674588697862375,ALL / small_inc_enc
128,GSupply,ALL,small_inc_enc,RandomForestRegressor,3,0.9852385378216679,0.8727920142706845,ALL / small_inc_enc
129,GSupply,ALL,small_inc_enc,RandomForestRegressor,4,0.9837572906868188,0.8561095237168345,ALL / small_inc_enc
130,GSupply,ALL,small_inc_enc,PySRRegressor,0,0.7731168547643074,-0.474845316370329,ALL / small_inc_enc
