,Scenario,SOW,Temp_Limit,Delay,GDP,Pop,Other_ESD_Drivers,SDR,Elast_ESD_Driver,Elast_ESD_Price,CO2_Storage_Poten,Wind_Poten,Solar_Poten,Biomass_Poten,Oil_Gas_Poten,Solar_PV_Inv_Cost,Wind_Inv_Cost,Bioenergy_CCS_Inv_Cost,Other_Tech_Cost,Forcing,Land_Sinks,Clim_Sens,Year,Temp_Change,Rad_Forcing,CO2_Conc,CH4_Conc,N20_Conc,Carbon,CO2eq,Marg_CO2_Cost,GSupply,GSupply_Bioenergy,GSupply_Fossil,GSupply_Geothermal,GSupply_Nuclear,GSupply_Solar,GSupply_Tidal_Waves,GSupply_Wind,GConsumption,GConsumption_Fossil,GConsumption_Nuclear,GConsumption_Renewable,GCost
1395,1p5c_OS_SSP2,404,1.5,15,1.11508,1.05378,1.01392,4.10011,1.13198,1.01628,1.06346,1.15235,1.46318,1.08585,0.979339,0.835921,0.974689,1.01637,0.990356,1.02052,1.07211,4.9,2050,2.20196979,2.084744122,367.7845383,1501.546116,354.2365526,-5.487139742,-20.12134143,1102.593855,122.649979,,11.99755027,3.375096026,4.937477778,82.3704421,2.476396653,11.14890479,1174.40541,453.8958214,49.49355045,671.0160386,71.13973277
1396,1p5c_OS_SSP2,405,1.5,15,1.10152,1.04302,0.914099,3.77361,1.04065,1.04823,0.997812,0.876489,1.3617,1.10845,0.99498,1.125,1.05997,1.13095,1.0477,0.987238,1.14425,3.6,2050,1.827504537,2.14332714,374.2362382,1442.157503,354.1885224,-3.875713933,-14.21224299,633.5529829,73.73773822,,12.67911556,2.948403993,4.93529064,33.93906894,2.477142214,10.76514917,857.6810699,308.6915798,50.97994814,498.009542,46.56109657
1397,1p5c_OS_SSP2,406,1.5,15,1.08457,0.958333,1.11442,3.57824,0.979198,1.13801,1.05828,0.976956,0.906451,1.07227,0.997441,1.15178,1.19705,1.2118,1.15622,0.990088,1.03448,2.3,2050,1.5,2.792083118,426.6815681,1522.543729,354.996129,2.136044369,7.832874701,117.5814021,36.63747946,,5.27628105,1.993585844,4.460636119,9.595776085,2.178708576,7.636430791,746.1872629,390.4259838,46.09290519,309.6683739,26.0437535
1398,1p5c_OS_SSP2,407,1.5,15,1.08914,0.983097,1.02651,4.9561,1.0845,1.32247,1.22993,1.0244,1.15535,1.02347,0.973013,0.952932,1.05812,0.921004,1.06797,0.940392,1.0209,4.0,2050,1.994674649,2.21944214,380.3216253,1454.497701,354.2602639,-3.317237657,-12.16431049,686.1885178,75.17330862,,12.11710177,2.911846853,5.030837573,35.4133109,2.568206037,11.15503121,864.2378718,328.853991,51.96369936,483.4201815,56.20232472
1399,1p5c_OS_SSP2,408,1.5,15,1.0971,1.03047,1.00333,2.75726,0.958864,1.03195,0.972042,1.1266,1.00275,1.11721,1.0417,0.994599,1.00119,1.16687,0.999791,0.970495,1.09614,2.4,2050,1.5,2.647953316,414.7230338,1515.63647,354.9360529,1.488347958,5.457771962,115.4856136,37.23251825,,6.923170777,1.941413435,4.546183191,9.006836075,1.933,7.299542409,743.3932141,373.7561289,46.97369785,322.6633874,24.77583542
1402,1p5c_OS_SSP2,411,1.5,15,1.06688,1.01944,0.985896,3.95672,0.90851,0.960278,0.917201,1.09834,1.07064,1.14837,1.08325,0.951555,1.19182,0.9732,1.04524,1.01348,1.26188,2.1,2050,1.484217623,3.050067804,448.0703149,1535.669379,355.0922942,3.280523518,12.02967974,88.44683933,31.39868047,,2.451493907,1.950534741,4.489651925,8.407729674,2.236626298,6.575888177,677.8680914,361.108819,46.39165193,270.3676204,23.79378494
1403,1p5c_OS_SSP2,412,1.5,15,1.13149,0.973721,1.00311,4.48058,0.935368,1.07054,1.1282,0.885031,1.18295,1.13963,1.05503,1.01561,1.18485,0.914246,1.06006,0.947206,1.03798,3.1,2050,1.680689745,2.25536311,382.7981755,1473.276664,354.5620006,-2.840841386,-10.41736536,324.6875282,51.88254814,,12.96147189,1.909393166,4.963121566,16.39642764,2.090054618,8.422225522,784.966511,325.9120227,51.26649536,407.7879929,36.83712663
1404,1p5c_OS_SSP2,413,1.5,15,0.977899,1.05772,1.06021,4.96738,1.11458,0.897975,1.13927,0.833095,1.28873,1.20237,1.00276,1.19281,1.19452,0.834525,1.08256,1.01363,1.09464,3.9,2050,1.941586602,2.16250027,375.5192402,1454.616107,354.2598118,-4.00506542,-14.6865749,616.866979,74.08557828,,14.3165632,2.856734195,5.144390302,33.30798767,2.478941279,10.2146948,892.4238322,322.580809,53.13283826,516.710185,53.76738616
1406,1p5c_OS_SSP2,415,1.5,15,1.152,1.01023,0.987625,4.42384,1.07923,0.940653,1.09074,1.02572,1.03883,1.06626,1.01731,1.06206,1.09065,1.18761,1.08598,1.02739,1.06499,3.9,2050,1.951698795,2.197309735,378.3902649,1456.977987,354.2727256,-3.438593872,-12.60932373,723.1360993,80.65138254,,12.31782852,2.971158815,4.937477778,40.51995692,2.590799248,11.17676535,907.1923341,342.2156191,51.00246691,513.9742481,54.80608429
1408,1p5c_OS_SSP2,417,1.5,15,1.03026,1.05276,1.13392,4.29065,1.00733,1.01535,1.16003,0.976305,1.07021,1.08544,1.05772,0.902026,1.00653,1.10505,1.08579,0.946156,1.09862,3.0,2050,1.650282523,2.294872369,385.8859622,1482.495152,354.5986221,-2.11948625,-7.772156079,312.8679086,53.00586594,,12.03721701,1.972559679,4.852418134,17.33598195,2.101099486,9.485313912,801.8590204,348.300663,50.12669282,403.4316646,36.44079004
1409,1p5c_OS_SSP2,418,1.5,15,0.933861,1.02,0.965022,4.0268,0.997776,1.07515,1.13105,1.07013,1.40145,0.974791,1.19009,1.05509,1.05518,1.28436,1.14257,1.08163,1.02762,2.3,2050,1.5,2.792188998,426.9795966,1511.751225,354.9320582,2.1169845,7.762982162,117.0495369,33.75773494,,4.073631431,1.931269447,4.465265435,8.357364419,2.027190582,7.817539781,687.9718715,362.5150687,46.14056864,279.3162342,24.90837169
